ID,time,gFx,gFy,gFz,TgF
491,5.05655,2.4353,1.3652,-2.5399,3.77
492,5.07369,2.1455,1.2531,-2.4803,3.51
493,5.08545,1.6877,1.0877,-2.3936,3.12
494,5.08588,1.6877,1.0877,-2.3936,3.12
495,5.09627,1.2983,0.9482,-2.2216,2.74
496,5.10723,1.1368,0.8162,-2.0604,2.49
497,5.11876,1.0345,0.6672,-1.7833,2.17
498,5.12982,0.9282,0.5922,-1.4638,1.83
499,5.14391,0.9121,0.5316,-0.9979,1.45
500,5.1578,0.885,0.4545,-0.6312,1.18
501,5.16171,0.8647,0.4418,-0.5816,1.13
502,5.17369,0.6947,0.4202,-0.3564,0.89
503,5.18396,0.554,0.4193,-0.1737,0.72
504,5.19533,0.4895,0.3985,-0.0664,0.63
505,5.20606,0.3698,0.4261,-0.0429,0.57
506,5.21854,0.2989,0.4024,-0.1651,0.53
507,5.2292,0.251,0.3401,-0.3034,0.52
508,5.24142,0.1108,0.3399,-0.4265,0.56
509,5.25454,0.0268,0.3255,-0.428,0.54
510,5.25523,0.0131,0.3203,-0.4233,0.53
511,5.26884,-0.0863,0.262,-0.328,0.43
