time,gFx,gFy,gFz,TgF
5.161840,0.0045,0.9670,-0.4646,1.07
5.162275,-0.0011,0.9633,-0.4624,1.07
5.162467,-0.0011,0.9633,-0.4624,1.07
5.171940,0.0138,0.9543,-0.4370,1.05
5.182994,0.0771,0.9316,-0.4162,1.02
5.197196,0.1223,0.8807,-0.3542,0.96
5.197723,0.1223,0.8807,-0.3542,0.96
5.214602,-0.0172,0.8541,-0.3058,0.91
5.218210,-0.0815,0.8558,-0.2965,0.91
5.228148,-0.1863,0.8583,-0.2880,0.92
5.239812,-0.2334,0.8275,-0.3166,0.92
5.251134,-0.2410,0.8238,-0.3356,0.92
5.262086,-0.2087,0.8343,-0.3447,0.93
5.274243,-0.1565,0.7979,-0.3925,0.90
5.284775,-0.2068,0.8033,-0.4062,0.92
5.295760,-0.3026,0.8429,-0.3876,0.98
5.309184,-0.3822,0.8578,-0.3730,1.01
5.318158,-0.4057,0.8575,-0.3825,1.02
5.332441,-0.5202,0.8878,-0.3811,1.10
5.332872,-0.5202,0.8878,-0.3811,1.10
5.348651,-0.5439,0.9367,-0.3036,1.12
5.352639,-0.5366,0.9411,-0.2892,1.12
5.362040,-0.5185,0.9416,-0.2601,1.11
5.373282,-0.6067,0.9787,-0.1842,1.17
5.384401,-0.5854,1.0019,-0.1673,1.17
5.395691,-0.6221,0.9948,-0.1954,1.19
5.409285,-0.6629,1.0190,-0.2005,1.23
5.418392,-0.6016,1.0390,-0.2010,1.22
5.429147,-0.5034,1.0093,-0.2027,1.15
5.440429,-0.4166,0.9580,-0.2220,1.07
5.454186,-0.3465,0.9040,-0.2227,0.99
5.472343,-0.3890,0.8646,-0.1651,0.96
5.472947,-0.3890,0.8646,-0.1651,0.96
5.477800,-0.4147,0.8412,-0.1578,0.95
5.495614,-0.5046,0.7733,-0.1358,0.93
5.496608,-0.5129,0.7613,-0.1346,0.93
5.509174,-0.5185,0.6873,-0.1624,0.88
5.519330,-0.5591,0.6401,-0.1912,0.87
5.529376,-0.5977,0.6382,-0.2237,0.90
5.541625,-0.4286,0.6311,-0.2856,0.81
5.556105,-0.3346,0.5270,-0.3845,0.73
5.574905,-0.4677,0.5246,-0.4739,0.85
5.575370,-0.4677,0.5246,-0.4739,0.85
5.584922,-0.5417,0.4872,-0.5103,0.89
5.595200,-0.6377,0.4796,-0.4915,0.94
5.607372,-0.7486,0.4994,-0.4324,1.00
5.619432,-0.7640,0.5358,-0.3471,1.00
