time,gFx,gFy,gFz,TgF
4.840041,8.0079,0.0956,6.1312,10.09
4.851366,8.0079,-0.6994,4.2491,9.09
4.862422,8.0079,-2.9789,-0.4109,8.55
4.876649,8.0079,-3.874,-3.2098,9.46
4.885702,7.9322,-4.6719,-0.7727,9.24
4.897077,6.5956,-6.0365,1.6923,9.1
4.910749,3.6152,-6.6744,3.8421,8.51
4.911282,3.6152,-6.6744,3.8421,8.51
4.92274,1.8968,-6.4049,4.0561,7.81
4.940121,0.2547,-5.4116,2.3438,5.9
4.952327,0.3314,-4.3665,1.2594,4.56
4.954027,0.5002,-4.1737,1.1587,4.36
4.963248,1.1649,-3.4875,0.9572,3.8
4.974106,1.2673,-2.6816,0.409,2.99
4.984668,1.203,-1.9511,-0.093,2.29
4.996193,1.6516,-1.2708,-0.5372,2.15
5.006876,1.8993,-0.6596,-0.7487,2.15
5.018403,2.1521,0.1066,-1.1594,2.45
5.029704,2.4255,0.6186,-1.7154,3.03
5.044015,2.4785,1.1072,-2.3115,3.57
5.056317,2.4353,1.3652,-2.5399,3.77
5.056554,2.4353,1.3652,-2.5399,3.77
5.073686,2.1455,1.2531,-2.4803,3.51
5.085452,1.6877,1.0877,-2.3936,3.12
5.085883,1.6877,1.0877,-2.3936,3.12
5.096271,1.2983,0.9482,-2.2216,2.74
5.107226,1.1368,0.8162,-2.0604,2.49
5.118758,1.0345,0.6672,-1.7833,2.17
5.129824,0.9282,0.5922,-1.4638,1.83
5.143912,0.9121,0.5316,-0.9979,1.45
5.157802,0.885,0.4545,-0.6312,1.18
5.161708,0.8647,0.4418,-0.5816,1.13
5.173686,0.6947,0.4202,-0.3564,0.89
5.183957,0.554,0.4193,-0.1737,0.72
5.195331,0.4895,0.3985,-0.0664,0.63
5.206058,0.3698,0.4261,-0.0429,0.57
5.218537,0.2989,0.4024,-0.1651,0.53
5.229201,0.251,0.3401,-0.3034,0.52
5.241421,0.1108,0.3399,-0.4265,0.56
5.254539,0.0268,0.3255,-0.428,0.54
5.255227,0.0131,0.3203,-0.4233,0.53
5.268841,-0.0863,0.262,-0.328,0.43
5.274474,-0.1501,0.2263,-0.2775,0.39
5.285735,-0.3409,0.1417,-0.1543,0.4
5.296263,-0.5869,0.1547,-0.0473,0.61
5.307416,-0.7086,0.1808,0.0049,0.73
5.318618,-0.7242,0.1781,-0.0249,0.75
5.329805,-0.7252,0.2163,-0.1631,0.77
5.340576,-0.6966,0.2771,-0.3041,0.81
5.352081,-0.6333,0.3105,-0.5406,0.89
5.363717,-0.5952,0.3711,-0.7502,1.03
5.377374,-0.552,0.4044,-0.8965,1.13
5.39321,-0.5495,0.4,-0.7761,1.03
5.393508,-0.5495,0.4,-0.7761,1.03
5.407114,-0.5669,0.454,-0.5724,0.92
5.418613,-0.5749,0.4982,-0.4404,0.88
5.42941,-0.6634,0.5861,-0.3559,0.95
5.440643,-0.7399,0.7295,-0.2997,1.08
5.441694,-0.7538,0.7654,-0.2948,1.11
5.452578,-0.7609,0.893,-0.2978,1.21
5.463611,-0.6937,1.0364,-0.2728,1.28
5.47516,-0.551,1.1605,-0.1744,1.3
5.488633,-0.3429,1.2091,-0.0845,1.26
5.504079,-0.2171,1.2704,-0.0596,1.29
5.504511,-0.2171,1.2704,-0.0596,1.29
5.519604,-0.134,1.3168,-0.1587,1.33
5.529706,-0.0649,1.2944,-0.361,1.35
5.541291,-0.0241,1.2545,-0.6139,1.4
5.552583,0.0153,1.2127,-0.9268,1.53
5.564272,0.058,1.1624,-1.0886,1.59
5.564766,0.058,1.1624,-1.0886,1.59
5.575344,0.0585,1.0755,-1.0685,1.52
5.58676,-0.0052,0.9838,-0.918,1.35
5.597309,-0.0763,0.9081,-0.7685,1.19
5.608982,-0.1648,0.7972,-0.6378,1.03
5.622926,-0.3045,0.6694,-0.5687,0.93
5.637454,-0.4113,0.551,-0.5677,0.89
5.637714,-0.4113,0.551,-0.5677,0.89
5.651745,-0.4887,0.4276,-0.5892,0.88
